Selection;View;Channel;Begin Time (s);End Time (s);Low Freq (Hz);High Freq (Hz);Delta Time (s);Peak Freq (Hz);total_elements;note;singing;ID;nombre_archivo
14;Spectrogram 1;1;24.49557295;24.57185037;1299.3;1819;0.076;1464.3;0;cad;2;ML145137171;ML145137171_caldas_2019_MacaulayLibrary.Table.18.selections.txt
15;Waveform 1;1;35.1260907;35.57478139;1485.8;1747.9;0.449;NA;3;d;3;ML145137171;ML145137171_caldas_2019_MacaulayLibrary.Table.18.selections.txt
15;Spectrogram 1;1;35.1260907;35.57478139;1485.8;1747.9;0.449;1636.5;3;d;3;ML145137171;ML145137171_caldas_2019_MacaulayLibrary.Table.18.selections.txt
17;Waveform 1;1;35.68246715;36.12667093;1339;1696;0.444;NA;3;d;3;ML145137171;ML145137171_caldas_2019_MacaulayLibrary.Table.18.selections.txt
17;Spectrogram 1;1;35.68246715;36.12667093;1339;1696;0.444;1550.4;3;d;3;ML145137171;ML145137171_caldas_2019_MacaulayLibrary.Table.18.selections.txt
18;Waveform 1;1;36.19846144;36.54395327;1350.8;1736.7;0.345;NA;3;d;3;ML145137171;ML145137171_caldas_2019_MacaulayLibrary.Table.18.selections.txt
18;Spectrogram 1;1;36.19846144;36.54395327;1350.8;1736.7;0.345;1636.5;3;d;3;ML145137171;ML145137171_caldas_2019_MacaulayLibrary.Table.18.selections.txt
19;Waveform 1;1;35.12160379;36.53497946;1331.5;1756;1.413;NA;3;t;3;ML145137171;ML145137171_caldas_2019_MacaulayLibrary.Table.18.selections.txt
19;Spectrogram 1;1;35.12160379;36.53497946;1331.5;1756;1.413;1636.5;3;t;3;ML145137171;ML145137171_caldas_2019_MacaulayLibrary.Table.18.selections.txt
20;Waveform 1;1;35.57926829;35.68246715;1331.5;1756;0.103;NA;0;cad;3;ML145137171;ML145137171_caldas_2019_MacaulayLibrary.Table.18.selections.txt
20;Spectrogram 1;1;35.57926829;35.68246715;1331.5;1756;0.103;1636.5;0;cad;3;ML145137171;ML145137171_caldas_2019_MacaulayLibrary.Table.18.selections.txt
21;Waveform 1;1;36.13115784;36.19846144;1331.5;1756;0.067;NA;0;cad;3;ML145137171;ML145137171_caldas_2019_MacaulayLibrary.Table.18.selections.txt
21;Spectrogram 1;1;36.13115784;36.19846144;1331.5;1756;0.067;1464.3;0;cad;3;ML145137171;ML145137171_caldas_2019_MacaulayLibrary.Table.18.selections.txt
1;Waveform 1;1;1.708396853;1.993129662;1494.9;1868.6;0.285;NA;3;d;1;ML155228091;ML155228091_boyaca_2019_MacaulayLibrary.Table.17.selections.txt
1;Spectrogram 1;1;1.708396853;1.993129662;1494.9;1868.6;0.285;1722.7;3;d;1;ML155228091;ML155228091_boyaca_2019_MacaulayLibrary.Table.17.selections.txt
2;Waveform 1;1;2.168349852;2.628302851;1370.3;1619.5;0.46;NA;3;d;1;ML155228091;ML155228091_boyaca_2019_MacaulayLibrary.Table.17.selections.txt
2;Spectrogram 1;1;2.168349852;2.628302851;1370.3;1619.5;0.46;1550.4;3;d;1;ML155228091;ML155228091_boyaca_2019_MacaulayLibrary.Table.17.selections.txt
3;Waveform 1;1;2.680868908;3.08825585;1494.9;1993.2;0.407;NA;3;d;1;ML155228091;ML155228091_boyaca_2019_MacaulayLibrary.Table.17.selections.txt
3;Spectrogram 1;1;2.680868908;3.08825585;1494.9;1993.2;0.407;1722.7;3;d;1;ML155228091;ML155228091_boyaca_2019_MacaulayLibrary.Table.17.selections.txt
4;Waveform 1;1;1.714237591;3.091906336;1342.2;1917.4;1.378;NA;3;t;1;ML155228091;ML155228091_boyaca_2019_MacaulayLibrary.Table.17.selections.txt
4;Spectrogram 1;1;1.714237591;3.091906336;1342.2;1917.4;1.378;1722.7;3;t;1;ML155228091;ML155228091_boyaca_2019_MacaulayLibrary.Table.17.selections.txt
5;Waveform 1;1;1.994589895;2.169810086;1342.2;1981.3;0.175;NA;0;cad;1;ML155228091;ML155228091_boyaca_2019_MacaulayLibrary.Table.17.selections.txt
5;Spectrogram 1;1;1.994589895;2.169810086;1342.2;1981.3;0.175;1636.5;0;cad;1;ML155228091;ML155228091_boyaca_2019_MacaulayLibrary.Table.17.selections.txt
6;Waveform 1;1;2.631953337;2.682329142;1040.1;1615.3;0.05;NA;0;cad;1;ML155228091;ML155228091_boyaca_2019_MacaulayLibrary.Table.17.selections.txt
6;Spectrogram 1;1;2.631953337;2.682329142;1040.1;1615.3;0.05;1550.4;0;cad;1;ML155228091;ML155228091_boyaca_2019_MacaulayLibrary.Table.17.selections.txt
1;Waveform 1;1;3.105885757;3.497277865;1474;1867.1;0.391;NA;3;d;1;ML160994421;ML160994421_boyaca_2019_MacaulayLibrary.Table.16.selections.txt
1;Spectrogram 1;1;3.105885757;3.497277865;1474;1867.1;0.391;1636.5;3;d;1;ML160994421;ML160994421_boyaca_2019_MacaulayLibrary.Table.16.selections.txt
2;Waveform 1;1;3.648784487;4.14118101;884.4;1703.3;0.492;NA;3;d;1;ML160994421;ML160994421_boyaca_2019_MacaulayLibrary.Table.16.selections.txt
2;Spectrogram 1;1;3.648784487;4.14118101;884.4;1703.3;0.492;1550.4;3;d;1;ML160994421;ML160994421_boyaca_2019_MacaulayLibrary.Table.16.selections.txt
3;Waveform 1;1;4.160119338;4.728269171;1244.7;1899.8;0.568;NA;3;d;1;ML160994421;ML160994421_boyaca_2019_MacaulayLibrary.Table.16.selections.txt
3;Spectrogram 1;1;4.160119338;4.728269171;1244.7;1899.8;0.568;1722.7;3;d;1;ML160994421;ML160994421_boyaca_2019_MacaulayLibrary.Table.16.selections.txt
4;Waveform 1;1;3.503590641;3.648784487;786.1;1899.8;0.145;NA;0;cad;1;ML160994421;ML160994421_boyaca_2019_MacaulayLibrary.Table.16.selections.txt
4;Spectrogram 1;1;3.503590641;3.648784487;786.1;1899.8;0.145;1636.5;0;cad;1;ML160994421;ML160994421_boyaca_2019_MacaulayLibrary.Table.16.selections.txt
5;Waveform 1;1;4.14118101;4.160119338;884.4;1965.3;0.019;NA;0;cad;1;ML160994421;ML160994421_boyaca_2019_MacaulayLibrary.Table.16.selections.txt
5;Spectrogram 1;1;4.14118101;4.160119338;884.4;1965.3;0.019;947.5;0;cad;1;ML160994421;ML160994421_boyaca_2019_MacaulayLibrary.Table.16.selections.txt
6;Waveform 1;1;3.112198533;4.728269171;786.1;1965.3;1.616;NA;3;t;1;ML160994421;ML160994421_boyaca_2019_MacaulayLibrary.Table.16.selections.txt
6;Spectrogram 1;1;3.112198533;4.728269171;786.1;1965.3;1.616;1722.7;3;t;1;ML160994421;ML160994421_boyaca_2019_MacaulayLibrary.Table.16.selections.txt
7;Waveform 1;1;45.11687537;45.63452299;1048.2;1867.1;0.518;NA;3;d;2;ML160994421;ML160994421_boyaca_2019_MacaulayLibrary.Table.16.selections.txt
7;Spectrogram 1;1;45.11687537;45.63452299;1048.2;1867.1;0.518;1636.5;3;d;2;ML160994421;ML160994421_boyaca_2019_MacaulayLibrary.Table.16.selections.txt
8;Waveform 1;1;45.70396353;46.12060674;917.2;1736.1;0.417;NA;3;d;2;ML160994421;ML160994421_boyaca_2019_MacaulayLibrary.Table.16.selections.txt
8;Spectrogram 1;1;45.70396353;46.12060674;917.2;1736.1;0.417;1550.4;3;d;2;ML160994421;ML160994421_boyaca_2019_MacaulayLibrary.Table.16.selections.txt
9;Waveform 1;1;46.22161115;46.65087992;1179.2;1867.1;0.429;NA;3;d;2;ML160994421;ML160994421_boyaca_2019_MacaulayLibrary.Table.16.selections.txt
9;Spectrogram 1;1;46.22161115;46.65087992;1179.2;1867.1;0.429;1722.7;3;d;2;ML160994421;ML160994421_boyaca_2019_MacaulayLibrary.Table.16.selections.txt
10;Waveform 1;1;45.11687537;46.65087992;917.2;1867.1;1.534;NA;3;t;2;ML160994421;ML160994421_boyaca_2019_MacaulayLibrary.Table.16.selections.txt
10;Spectrogram 1;1;45.11687537;46.65087992;917.2;1867.1;1.534;1722.7;3;t;2;ML160994421;ML160994421_boyaca_2019_MacaulayLibrary.Table.16.selections.txt
11;Waveform 1;1;45.63452299;45.70396353;917.2;1834.3;0.069;NA;0;cad;2;ML160994421;ML160994421_boyaca_2019_MacaulayLibrary.Table.16.selections.txt
11;Spectrogram 1;1;45.63452299;45.70396353;917.2;1834.3;0.069;1292;0;cad;2;ML160994421;ML160994421_boyaca_2019_MacaulayLibrary.Table.16.selections.txt
12;Waveform 1;1;46.13323229;46.22161115;917.2;1899.8;0.088;NA;0;cad;2;ML160994421;ML160994421_boyaca_2019_MacaulayLibrary.Table.16.selections.txt
12;Spectrogram 1;1;46.13323229;46.22161115;917.2;1899.8;0.088;1464.3;0;cad;2;ML160994421;ML160994421_boyaca_2019_MacaulayLibrary.Table.16.selections.txt
13;Waveform 1;1;71.33517875;71.75813474;1264.2;1843.6;0.423;NA;3;d;3;ML160994421;ML160994421_boyaca_2019_MacaulayLibrary.Table.16.selections.txt
13;Spectrogram 1;1;71.33517875;71.75813474;1264.2;1843.6;0.423;1636.5;3;d;3;ML160994421;ML160994421_boyaca_2019_MacaulayLibrary.Table.16.selections.txt
14;Waveform 1;1;71.89701581;72.30103347;1053.5;1738.3;0.404;NA;3;d;3;ML160994421;ML160994421_boyaca_2019_MacaulayLibrary.Table.16.selections.txt
14;Spectrogram 1;1;71.89701581;72.30103347;1053.5;1738.3;0.404;1550.4;3;d;3;ML160994421;ML160994421_boyaca_2019_MacaulayLibrary.Table.16.selections.txt
15;Waveform 1;1;72.41466343;72.75555333;1106.2;1896.3;0.341;NA;3;d;3;ML160994421;ML160994421_boyaca_2019_MacaulayLibrary.Table.16.selections.txt
15;Spectrogram 1;1;72.41466343;72.75555333;1106.2;1896.3;0.341;1722.7;3;d;3;ML160994421;ML160994421_boyaca_2019_MacaulayLibrary.Table.16.selections.txt
16;Waveform 1;1;71.33517875;72.75555333;1053.5;1896.3;1.42;NA;3;t;3;ML160994421;ML160994421_boyaca_2019_MacaulayLibrary.Table.16.selections.txt
16;Spectrogram 1;1;71.33517875;72.75555333;1053.5;1896.3;1.42;1722.7;3;t;3;ML160994421;ML160994421_boyaca_2019_MacaulayLibrary.Table.16.selections.txt
17;Waveform 1;1;71.77076029;71.90332858;1053.5;1896.3;0.133;NA;0;cad;3;ML160994421;ML160994421_boyaca_2019_MacaulayLibrary.Table.16.selections.txt
17;Spectrogram 1;1;71.77076029;71.90332858;1053.5;1896.3;0.133;1636.5;0;cad;3;ML160994421;ML160994421_boyaca_2019_MacaulayLibrary.Table.16.selections.txt
18;Waveform 1;1;72.31365902;72.41466343;1053.5;1896.3;0.101;NA;0;cad;3;ML160994421;ML160994421_boyaca_2019_MacaulayLibrary.Table.16.selections.txt
18;Spectrogram 1;1;72.31365902;72.41466343;1053.5;1896.3;0.101;1464.3;0;cad;3;ML160994421;ML160994421_boyaca_2019_MacaulayLibrary.Table.16.selections.txt
1;Waveform 1;1;3.416579595;3.789403205;1169.3;2004.5;0.373;NA;3;d;1;ML167430121;ML167430121_boyaca_2019_MacaulayLibrary.Table.15.selections.txt
1;Spectrogram 1;1;3.416579595;3.789403205;1169.3;2004.5;0.373;1808.8;3;d;1;ML167430121;ML167430121_boyaca_2019_MacaulayLibrary.Table.15.selections.txt
2;Waveform 1;1;3.96059772;4.299182428;1113.6;1837.5;0.339;NA;3;d;1;ML167430121;ML167430121_boyaca_2019_MacaulayLibrary.Table.15.selections.txt
2;Spectrogram 1;1;3.96059772;4.299182428;1113.6;1837.5;0.339;1636.5;3;d;1;ML167430121;ML167430121_boyaca_2019_MacaulayLibrary.Table.15.selections.txt
3;Waveform 1;1;4.428529395;4.7328752;1169.3;2004.5;0.304;NA;3;d;1;ML167430121;ML167430121_boyaca_2019_MacaulayLibrary.Table.15.selections.txt
3;Spectrogram 1;1;4.428529395;4.7328752;1169.3;2004.5;0.304;1808.8;3;d;1;ML167430121;ML167430121_boyaca_2019_MacaulayLibrary.Table.15.selections.txt
4;Waveform 1;1;3.416579595;4.736679522;1148.4;1981.1;1.32;NA;3;t;1;ML167430121;ML167430121_boyaca_2019_MacaulayLibrary.Table.15.selections.txt
4;Spectrogram 1;1;3.416579595;4.736679522;1148.4;1981.1;1.32;1808.8;3;t;1;ML167430121;ML167430121_boyaca_2019_MacaulayLibrary.Table.15.selections.txt
5;Waveform 1;1;3.785598883;3.956793398;1148.4;1981.1;0.171;NA;0;cad;1;ML167430121;ML167430121_boyaca_2019_MacaulayLibrary.Table.15.selections.txt
5;Spectrogram 1;1;3.785598883;3.956793398;1148.4;1981.1;0.171;1808.8;0;cad;1;ML167430121;ML167430121_boyaca_2019_MacaulayLibrary.Table.15.selections.txt
6;Waveform 1;1;4.299182428;4.428529395;1148.4;1981.1;0.129;NA;0;cad;1;ML167430121;ML167430121_boyaca_2019_MacaulayLibrary.Table.15.selections.txt
6;Spectrogram 1;1;4.299182428;4.428529395;1148.4;1981.1;0.129;1550.4;0;cad;1;ML167430121;ML167430121_boyaca_2019_MacaulayLibrary.Table.15.selections.txt
7;Waveform 1;1;43.92477142;43.99705354;1400.7;1852.6;0.072;NA;4;a;2;ML167430121;ML167430121_boyaca_2019_MacaulayLibrary.Table.15.selections.txt
7;Spectrogram 1;1;43.92477142;43.99705354;1400.7;1852.6;0.072;1722.7;4;a;2;ML167430121;ML167430121_boyaca_2019_MacaulayLibrary.Table.15.selections.txt
8;Waveform 1;1;44.19487832;44.62857109;1581.5;2078.5;0.434;NA;4;d;2;ML167430121;ML167430121_boyaca_2019_MacaulayLibrary.Table.15.selections.txt
8;Spectrogram 1;1;44.19487832;44.62857109;1581.5;2078.5;0.434;1894.9;4;d;2;ML167430121;ML167430121_boyaca_2019_MacaulayLibrary.Table.15.selections.txt
9;Waveform 1;1;44.80356993;45.14976328;1220;1988.1;0.346;NA;4;d;2;ML167430121;ML167430121_boyaca_2019_MacaulayLibrary.Table.15.selections.txt
9;Spectrogram 1;1;44.80356993;45.14976328;1220;1988.1;0.346;1722.7;4;d;2;ML167430121;ML167430121_boyaca_2019_MacaulayLibrary.Table.15.selections.txt
10;Waveform 1;1;45.28671889;45.5910647;994.1;2123.7;0.304;NA;4;d;2;ML167430121;ML167430121_boyaca_2019_MacaulayLibrary.Table.15.selections.txt
10;Spectrogram 1;1;45.28671889;45.5910647;994.1;2123.7;0.304;1894.9;4;d;2;ML167430121;ML167430121_boyaca_2019_MacaulayLibrary.Table.15.selections.txt
